weeks:	wt	wt	wt	wt	wt	wt	wt	wt	wt	wt	wt	wt	wt	wt	wt	wt	wt	wt	wt	wt	wt	wt	wt	wt	wt	hetero	hetero	hetero	hetero	hetero	hetero	hetero	hetero	hetero	hetero	hetero	hetero	hetero	hetero	hetero	hetero	hetero	hetero	hetero	hetero	hetero	hetero	hetero	hetero	hetero	triple ko	triple ko	triple ko	triple ko	triple ko	triple ko	triple ko	triple ko	triple ko	triple ko	triple ko	triple ko	triple ko	triple ko	triple ko	triple ko	triple ko	triple ko	triple ko	triple ko	triple ko	triple ko	triple ko	triple ko	triple ko
21.	1.	4.	23.	8.	0.	19.	18.	0.	1.	15.	0.	23.	0.	0.	0.	1.	1.	6.	15.	1.	2.	0.	7.	0.	7.	0.	0.	1.	1.	2.	0.	0.	0.	1.	0.	0.	0.	4.	0.	0.	1.	0.	0.	1.	0.	0.	2.	0.	11.	0.	0.	1.	1.	1.	0.	0.	1.	0.	0.	0.	0.	1.	0.	1.	1.										
22.	1.	4.	23.	7.	0.	15.	18.	0.	1.	15.	0.	24.	0.	0.	0.	1.	1.	6.	14.	1.	2.	1.	6.	0.	6.	0.	1.	1.	1.	2.	0.	0.	0.	1.	0.	0.	0.	5.	0.	0.	1.	0.	0.	1.	0.	0.	2.	0.	10.	0.	0.	0.	1.	1.	0.	0.	1.	0.	0.	0.	0.	1.	0.	1.	1.										
23.	1.	4.	21.	7.	0.	13.	18.	0.	1.	15.	0.	24.	0.	0.	0.	2.	1.	6.	14.	1.	1.	1.	5.	0.	6.	0.	1.	1.	1.	2.	0.	0.	0.	1.	0.	0.	0.	4.	0.	0.	1.	0.	0.	1.	0.	0.	1.	0.	9.	0.	0.	0.	1.	2.	0.	0.	1.	0.	0.	0.	0.	1.	0.	1.	1.										
24.	1.	4.	21.	7.	0.	12.	18.	0.	1.	15.	0.	26.	0.	0.	0.	2.	1.	6.	14.	1.	1.	1.	5.	0.	6.	0.	1.	1.	1.	2.	0.	0.	0.	1.	0.	0.	0.	4.	0.	0.	1.	0.	0.	1.	0.	0.	1.	0.	9.	0.	0.	0.	1.	2.	0.	0.	1.	0.	0.	0.	0.	1.	0.	1.	1.										
25.	1.	4.	20.	5.	0.	12.	15.	0.	0.	16.	0.	28.	0.	0.	1.	2.	0.	8.	17.	1.	1.	1.	5.	0.	5.	0.	1.	1.	1.	2.	0.	0.	0.	1.	0.	0.	0.	3.	0.	0.	1.	0.	0.	1.	0.	0.	1.	0.	9.	0.	0.	0.	1.	2.	0.	0.	1.	0.	0.	0.	0.	1.	0.	1.	1.										
26.	1.	4.	20.	5.	0.	11.	17.	0.	0.	16.	0.	29.	0.	0.	1.	2.	0.	8.	15.	1.	1.	1.	5.	0.	5.	0.	1.	1.	1.	2.	0.	0.	0.	1.	0.	0.	0.	3.	0.	0.	1.	0.	0.	1.	0.	0.	1.	0.	9.	0.	0.	0.	1.	2.	0.	0.	1.	0.	0.	0.	0.	1.	0.	1.	1.										
27.	1.	4.	19.	5.	0.	11.	17.	0.	0.	16.	0.	28.	0.	0.	1.	2.	0.	8.	15.	1.	0.	1.	5.	0.	5.	0.	1.	1.	1.	2.	0.	0.	0.	0.	0.	0.	0.	3.	0.	0.	1.	0.	0.	1.	0.	0.	1.	0.	9.	0.	0.	1.	1.	1.	0.	0.	1.	0.	0.	0.	0.	1.	0.	1.	1.										
28.	1.	4.	19.	5.	0.	11.	17.	0.	0.	16.	0.	28.	0.	0.	1.	2.	0.	8.	16.	1.	0.	1.	5.	0.	5.	0.	1.	1.	1.	2.	0.	0.	0.	0.	0.	0.	0.	3.	0.	0.	1.	0.	0.	1.	0.	0.	1.	0.	9.	0.	0.	1.	1.	1.	0.	0.	1.	0.	0.	0.	0.	1.	0.	1.	1.										
29.	1.	4.	19.	4.	0.	11.	15.	0.	0.	17.	0.	27.	0.	0.	1.	2.	0.	8.	15.	1.	0.	1.	5.	0.	4.	0.	1.	1.	1.	2.	0.	0.	0.	0.	0.	0.	0.	3.	0.	0.	1.	0.	0.	0.	0.	0.	1.	0.	9.	0.	0.	1.	1.	1.	0.	0.	0.	0.	0.	0.	0.	1.	0.	1.	1.										
30.	2.	4.	18.	3.	0.	9.	14.	0.	0.	17.	0.	27.	0.	0.	1.	2.	0.	8.	15.	1.	0.	1.	5.	0.	5.	0.	1.	1.	1.	2.	0.	0.	0.	0.	0.	0.	0.	3.	0.	0.	1.	0.	0.	0.	0.	0.	1.	0.	9.	0.	0.	1.	1.	1.	0.	0.	0.	0.	0.	0.	0.	1.	0.	1.	1.										
