weeks:	hetero	hetero	hetero	hetero	hetero	hetero	hetero	hetero	hetero	hetero	hetero	hetero	hetero	hetero	hetero	hetero	hetero	hetero	hetero	hetero	hetero	hetero	hetero	hetero	hetero	triple ko	triple ko	triple ko	triple ko	triple ko	triple ko	triple ko	triple ko	triple ko	triple ko	triple ko	triple ko	triple ko	triple ko	triple ko	triple ko	triple ko	triple ko	triple ko	triple ko	triple ko	triple ko	triple ko	triple ko	triple ko
30.	0.	1.	1.	1.	2.	0.	0.	0.	0.	0.	0.	0.	3.	0.	0.	1.	0.	0.	0.	0.	0.	1.	0.	9.	0.	0.	1.	1.	1.	0.	0.	0.	0.	0.	0.	0.	1.	0.	1.	1.										
31.	0.	1.	1.	1.	2.	0.	0.	0.	0.	0.	0.	0.	3.	0.	0.	1.	0.	0.	0.	0.	0.	1.	0.	9.	0.	0.	1.	1.	1.	0.	0.	0.	0.	0.	0.	0.	1.	0.	1.	1.										
32.	0.	1.	1.	1.	2.	0.	0.	0.	0.	0.	0.	0.	3.	0.	0.	1.	0.	0.	0.	0.	0.	1.	0.	9.	0.	0.	1.	1.	1.	0.	0.	0.	0.	0.	0.	0.	1.	0.	1.	1.										
33.	0.	1.	1.	1.	0.	0.	0.	0.	0.	0.	0.	0.	3.	0.	0.	1.	0.	0.	0.	0.	0.	1.	0.	9.	0.	0.	1.	1.	1.	0.	0.	0.	0.	0.	0.	0.	1.	0.	1.	1.										
34.	0.	1.	1.	1.	0.	0.	0.	0.	0.	0.	0.	0.	3.	0.	0.	1.	0.	0.	0.	0.	0.	1.	0.	9.	0.	0.	1.	1.	1.	0.	0.	0.	0.	0.	0.	0.	1.	0.	1.	1.										
35.	0.	1.	1.	1.	0.	0.	0.	0.	0.	0.	0.	0.	3.	0.	0.	1.	0.	0.	0.	0.	0.	1.	0.	10.	0.	1.	1.	1.	1.	0.	0.	0.	0.	0.	0.	0.	1.	0.	1.	1.										
36.	0.	2.	1.	1.	0.	0.	0.	0.	0.	0.	0.	0.	3.	0.	0.	1.	0.	0.	0.	0.	0.	1.	0.	10.	0.	0.	1.	1.	2.	0.	0.	0.	0.	0.	0.	0.	1.	0.	1.	1.										
37.	0.	2.	1.	1.	0.	0.	0.	0.	0.	0.	0.	0.	3.	0.	0.	1.	0.	0.	0.	0.	1.	0.	0.	10.	0.	0.	1.	1.	1.	0.	0.	0.	0.	0.	0.	0.	1.	0.	1.	1.										
38.	0.	2.	1.	1.	0.	0.	0.	0.	0.	0.	0.	0.	3.	0.	0.	1.	0.	0.	0.	0.	1.	0.	0.	10.	0.	0.	1.	0.	1.	0.	0.	0.	0.	0.	0.	0.	1.	0.	1.	0.										
39.	0.	2.	1.	1.	0.	0.	0.	1.	0.	0.	0.	0.	3.	0.	0.	1.	2.	0.	0.	0.	1.	0.	0.	8.	1.	0.	1.	0.	1.	0.	0.	0.	0.	1.	0.	0.	1.	0.	1.	0.										
40.	0.	2.	1.	1.	0.	0.	0.	1.	0.	0.	0.	0.	3.	0.	0.	1.	2.	0.	0.	0.	1.	0.	0.	9.	1.	0.	1.	0.	1.	0.	0.	0.	0.	0.	0.	0.	1.	0.	1.	0.										
41.	0.	2.	1.	1.	0.	0.	0.	0.	0.	0.	0.	0.	3.	0.	0.	1.	1.	0.	0.	0.	0.	0.	0.	10.	1.	0.	1.	0.	0.	0.	0.	0.	0.	0.	0.	0.	1.	0.	1.	0.										
42.	0.	2.	1.	0.	0.	0.	0.	0.	0.	0.	0.	0.	3.	0.	0.	1.	0.	0.	0.	0.	0.	0.	0.	10.	1.	0.	1.	0.	0.	0.	0.	0.	0.	0.	0.	0.	1.	0.	1.	0.										
43.	0.	2.	1.	1.	0.	0.	1.	0.	0.	0.	0.	0.	3.	0.	0.	1.	2.	1.	0.	0.	0.	0.	0.	8.	1.	0.	1.	0.	0.	0.	0.	0.	0.	0.	0.	0.	1.	0.	1.	0.										
44.	0.	2.	1.	1.	0.	0.	1.	0.	0.	0.	0.	0.	3.	1.	0.	1.	2.	1.	0.	0.	0.	0.	0.	8.	1.	0.	1.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	1.	0.										
45.	0.	2.	1.	2.	0.	0.	1.	0.	0.	0.	0.	0.	3.	1.	0.	1.	2.	0.	1.	0.	1.	0.	0.	8.	1.	0.	1.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	1.	0.										
46.	0.	2.	1.	1.	0.	0.	0.	0.	0.	0.	0.	0.	3.	1.	0.	1.	1.	0.	0.	0.	0.	0.	0.	8.	1.	0.	1.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	1.	0.										
47.	0.	2.	1.	1.	0.	0.	0.	0.	0.	0.	0.	0.	3.	1.	0.	0.	0.	0.	0.	0.	0.	0.	0.	8.	1.	0.	1.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	1.	0.										
48.	0.	2.	1.	1.	0.	0.	0.	0.	0.	0.	0.	0.	3.	1.	0.	1.	1.	0.	0.	0.	0.	0.		8.	2.	0.	1.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	1.	0.										
49.	0.	1.	2.	2.	0.	1.	0.	0.	0.	0.	0.	0.	3.	1.	0.	1.	2.	0.	1.	0.	0.	0.	0.	8.	3.	0.	1.	0.	0.	1.	0.	0.	0.	1.	0.	0.	0.	0.	1.	0.										
50.	0.	1.	2.	2.	0.	1.	0.	0.	0.	0.	0.	0.	3.	2.	0.	1.	2.	0.	1.	0.	0.	0.	0.	8.	3.	1.	0.	0.	0.	1.	0.	0.	0.	1.	0.	0.	0.	0.	1.	0.										
51.	0.	1.	2.	1.	0.	1.	0.	0.	0.	0.	0.	0.	3.	2.	0.	1.	2.	0.	1.	0.	0.	0.	0.	8.	3.	1.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	1.	0.										
52.	0.	1.	2.	1.	0.	1.	0.	0.	0.	0.	0.	0.	3.	4.	0.	1.	2.	0.	1.	0.	0.	0.	0.	8.	3.	1.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	1.	0.										
53.	0.	1.	2.	1.	0.	1.	0.	0.	0.	0.	0.	0.	3.	5.	0.	0.	1.	0.	1.	0.	0.	0.	0.	8.	2.	1.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	1.	0.	1.	0.										
54.	0.	1.	0.	1.	0.	1.	0.	0.	0.	0.	0.	0.	3.	4.	0.	1.	1.	0.	1.	0.	0.	0.	0.	8.	2.	1.	1.	0.	0.	1.	0.	0.	0.	1.	0.	0.	1.	0.	1.	0.										
55.	0.	1.	2.	1.	0.	1.	0.	0.	0.	0.	0.	0.	3.	5.	0.	1.	1.	0.	1.	0.	0.	0.	0.	8.	2.	2.	1.	0.	0.	1.	0.	0.	0.	1.	0.	0.	1.	0.	1.	0.										
56.	0.	1.	1.	1.	0.	1.	0.	0.	0.	0.	0.	0.	3.	5.	0.	1.	1.	0.	1.	0.	0.	0.	0.	8.	3.	2.	1.	0.	0.	1.	0.	0.	0.	1.	0.	0.	1.	0.	1.	0.										
57.	1.	1.	0.	1.	0.	1.	0.	0.	0.	0.	0.	0.	3.	5.	0.	1.	1.	0.	1.	0.	0.	0.	0.	8.	1.	1.	0.	0.	0.	1.	0.	0.	0.	0.	0.	0.	1.	0.	1.	0.										
58.	0.	1.	2.	1.	0.	1.	0.	0.	0.	0.	0.	0.	3.	9.	0.	3.	1.	0.	1.	0.	1.	0.	0.	8.	2.	1.	2.	0.	0.	1.	0.	0.	0.	1.	0.	0.	1.	0.	1.	0.										
59.	2.	1.	0.	1.	0.	1.	0.	0.	0.	0.	0.	0.	3.	9.	0.	3.	1.	0.	1.	0.	1.	0.	0.	8.	2.	1.	2.	0.	0.	0.	0.	0.	0.	0.	0.	0.	1.	0.	1.	0.										
60.	3.	1.	0.	1.	0.	1.	0.	0.	0.	0.	1.	0.	3.	8.	0.	3.	1.	0.	1.	0.	1.	0.	0.	8.	2.	2.	2.	0.	0.	1.	1.	0.	0.	0.	0.	0.	1.	0.	1.	0.										
61.	3.	1.	0.	1.	0.	1.	0.	0.	0.	0.	1.	0.	3.	8.	0.	3.	1.	0.	1.	0.	1.	0.	0.	8.	2.	2.	2.	0.	0.	2.	1.	0.	0.	0.	0.	0.	1.	0.	1.	0.										
62.	1.	1.	0.	1.	0.	1.	0.	0.	0.	0.	0.	0.	3.	7.	0.	2.	1.	0.	0.	0.	0.	0.	0.	8.	1.	1.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	1.	0.	1.	0.										
63.	0.	0.	0.	1.	0.	1.	0.	0.	0.	0.	1.	0.	3.	10.	0.	4.	1.	0.	1.	0.	0.	0.	0.	8.	2.	2.	0.	0.	0.	1.	0.	0.	0.	0.	0.	0.	1.	0.	1.	0.										
64.																																																		
65.																																																		
