Position	IPE	Bottom	Middle	Top
	27.780950	18.803420	21.766560	16.666670
	24.228470	29.739780	20.489690	13.291140
	26.615480	23.790320	19.819820	10.714290
	25.228160	18.000000	15.126050	0.000000
	32.725530	21.333330	13.333330	6.666667
	10.226540	24.163570	19.191920	5.769231
	19.643790	9.965636	12.714780	0.000000
	22.199590	17.674420	15.107910	6.521739
	23.991390	18.348620	8.133971	2.272727
	24.376900	14.044940	14.503820	3.061224
