IPE	Bottom	Middle	Top
15.46	0.5525	0.7126	0.0000
12.62	0.0000	1.1054	0.0000
13.26	0.5747	0.6921	0.0000
13.48	1.8018	1.6552	0.0000
9.14	1.2931	1.1076	0.0000
7.85	1.3954	2.4283	0.0000
31.71	1.0695	0.2809	0.0000
8.90	0.0000	0.6250	0.0000
19.14			
8.01			
20.34			
23.65			
25.28			
17.05			
12.08			
2.79			
2.90			
